<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.03	03:00:00	0.63691	0.63726	0.63628	0.63690	6003	3879145000	21
2015.09.03	04:00:00	0.63690	0.63700	0.63497	0.63609	6610	3416190000	21
2015.09.03	05:00:00	0.63609	0.63695	0.63544	0.63546	5217	2955482000	21
2015.09.03	06:00:00	0.63546	0.63596	0.63492	0.63528	5044	2161156000	21
2015.09.03	07:00:00	0.63529	0.63529	0.63387	0.63426	5117	2106104000	21
2015.09.03	08:00:00	0.63426	0.63436	0.63341	0.63345	5425	2546038000	21
2015.09.03	09:00:00	0.63345	0.63484	0.63294	0.63425	6188	5190350000	21
2015.09.03	10:00:00	0.63425	0.63575	0.63420	0.63523	5125	2595532000	21
2015.09.03	11:00:00	0.63523	0.63524	0.63438	0.63468	4340	2725446000	21
2015.09.03	12:00:00	0.63467	0.63528	0.63433	0.63481	4573	1713983000	21
2015.09.03	13:00:00	0.63481	0.63531	0.63437	0.63471	4019	3156237000	21
2015.09.03	14:00:00	0.63470	0.63490	0.63405	0.63455	5723	3564769000	21
2015.09.03	15:00:00	0.63456	0.63572	0.63446	0.63521	5734	3947552000	21
2015.09.03	16:00:00	0.63519	0.64008	0.63485	0.63943	6937	6292676000	21
2015.09.03	17:00:00	0.63941	0.64136	0.63798	0.63830	6179	5407659000	21
2015.09.03	18:00:00	0.63830	0.63988	0.63771	0.63970	4010	3069689000	21
2015.09.03	19:00:00	0.63970	0.64066	0.63939	0.64012	2394	1730033000	21
2015.09.03	20:00:00	0.64012	0.64056	0.63878	0.63883	3661	2774689000	21
2015.09.03	21:00:00	0.63877	0.64015	0.63860	0.63923	4378	3462444000	21
2015.09.03	22:00:00	0.63920	0.63972	0.63906	0.63906	3681	2738506000	22
2015.09.03	23:00:00	0.63906	0.64002	0.63904	0.63971	3207	1335202000	21
2015.09.04	00:00:00	0.63938	0.63978	0.63827	0.63849	2428	1289321000	21
2015.09.04	01:00:00	0.63849	0.63881	0.63778	0.63864	2475	543632000	21
2015.09.04	02:00:00	0.63862	0.63922	0.63832	0.63921	6138	4392943000	22
2015.09.04	03:00:00	0.63919	0.63947	0.63810	0.63862	5212	3916620000	21
2015.09.04	04:00:00	0.63862	0.63911	0.63764	0.63793	4941	2591859000	21
2015.09.04	05:00:00	0.63793	0.63798	0.63550	0.63657	4444	2489673000	21
2015.09.04	06:00:00	0.63657	0.63697	0.63559	0.63615	3968	1903759000	21
2015.09.04	07:00:00	0.63615	0.63655	0.63500	0.63603	4431	2186195000	21
2015.09.04	08:00:00	0.63603	0.63641	0.63536	0.63568	5660	3044441000	21
2015.09.04	09:00:00	0.63567	0.63675	0.63523	0.63652	5409	3509967000	21
2015.09.04	10:00:00	0.63652	0.63715	0.63619	0.63690	4968	4122375000	21
2015.09.04	11:00:00	0.63690	0.63753	0.63611	0.63718	5484	3384592000	21
2015.09.04	12:00:00	0.63719	0.63732	0.63604	0.63615	3797	2935050000	21
2015.09.04	13:00:00	0.63616	0.63685	0.63597	0.63672	3363	2588786000	21
2015.09.04	14:00:00	0.63672	0.63682	0.63601	0.63635	4286	2356747000	19
2015.09.04	15:00:00	0.63636	0.64020	0.63160	0.63350	7517	6651094000	21
2015.09.04	16:00:00	0.63350	0.63366	0.63110	0.63122	4988	3249416000	21
2015.09.04	17:00:00	0.63121	0.63201	0.62901	0.62906	5373	4662632000	21
2015.09.04	18:00:00	0.62906	0.62990	0.62687	0.62767	5321	4256052000	21
2015.09.04	19:00:00	0.62768	0.62923	0.62744	0.62915	2238	2638742000	21
2015.09.04	20:00:00	0.62913	0.63003	0.62862	0.62889	2246	1427983000	21
2015.09.04	21:00:00	0.62890	0.63029	0.62890	0.63005	2240	1224656000	16
2015.09.04	22:00:00	0.63006	0.63037	0.62837	0.62838	1464	971349000	21
